Tarih,CPI
2016-01-01,274.44
2016-02-01,274.38
2016-03-01,274.27
2016-04-01,276.42
2016-05-01,278.02
2016-06-01,279.33
2016-07-01,282.58
2016-08-01,281.76
2016-09-01,282.27
2016-10-01,286.33
2016-11-01,287.81
2016-12-01,292.54
2017-01-01,299.74
2017-02-01,302.17
2017-03-01,305.24
2017-04-01,309.23
2017-05-01,310.61
2017-06-01,309.78
2017-07-01,310.24
2017-08-01,311.85
2017-09-01,313.88
2017-10-01,320.4
2017-11-01,325.18
2017-12-01,327.41
2018-01-01,330.75
2018-02-01,333.17
2018-03-01,336.48
2018-04-01,342.78
2018-05-01,348.34
2018-06-01,357.44
2018-07-01,359.41
2018-08-01,367.66
2018-09-01,390.84
2018-10-01,401.27
2018-11-01,395.48
2018-12-01,393.88
2019-01-01,398.07
2019-02-01,398.71
2019-03-01,402.81
2019-04-01,409.63
2019-05-01,413.52
2019-06-01,413.63
2019-07-01,419.24
2019-08-01,422.84
2019-09-01,427.04
2019-10-01,435.59
2019-11-01,437.25
2019-12-01,440.5
2020-01-01,446.45
2020-02-01,448.02
2020-03-01,450.58
2020-04-01,454.43
2020-05-01,460.62
2020-06-01,465.84
2020-07-01,468.56
2020-08-01,472.61
2020-09-01,477.21
2020-10-01,487.38
2020-11-01,498.58
2020-12-01,504.81
2021-01-01,513.3
2021-02-01,517.96
2021-03-01,523.53
2021-04-01,532.32
2021-05-01,537.05
2021-06-01,547.48
2021-07-01,557.36
2021-08-01,563.6
2021-09-01,570.66
2021-10-01,584.32
2021-11-01,604.84
2021-12-01,686.95
